DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2018-09-25,66.55,66.9,66.1,66.38,0.0,66.38,GOOG-Q
2018-09-26,66.26,66.61,65.89,65.99,0.0,65.99,GOOG-Q
2018-10-01,67.69,67.99,67.14,67.24,0.0,67.24,GOOG-Q
2018-10-02,67.06,67.15,66.42,66.42,0.0,66.42,GOOG-Q
2018-10-03,66.62,67.06,65.83,66.03,2607611.0,66.03,GOOG-Q
2018-10-04,65.88,66.01,64.95,65.53,0.0,65.53,GOOG-Q
2018-10-05,65.47,66.0,65.12,65.24,0.0,65.24,GOOG-Q
2018-10-08,65.35,66.51,65.27,66.2,2513797.0,66.2,GOOG-Q
2018-10-09,66.3,67.17,65.88,67.06,0.0,67.06,GOOG-Q
2018-10-10,66.89,67.25,65.53,65.56,0.0,65.56,GOOG-Q
2018-10-11,65.64,65.64,62.56,62.84,0.0,62.84,GOOG-Q
2018-10-12,63.36,63.64,61.97,62.54,0.0,62.54,GOOG-Q
2018-10-15,62.49,63.75,62.41,63.07,3366748.0,63.07,GOOG-Q
2018-10-16,62.8,64.21,61.92,63.86,2847236.0,63.86,GOOG-Q
